rank,username,followerCount,score,signalScore,noisePoints,totalEngagement,engagementRate,averageEngagementPerPost
1,BillyM2k,2267674,228.13,178.21,49.92,0,0,0
2,Regrets10x,113564,219.99,131.58,88.41,0,0,0
3,CryptoTea_,183952,209.82,122.82,87.0,0,0,0
4,CryptoMichNL,804491,198.9,117.39,81.52,0,0,0
5,langeriuseth,166352,193.21,104.81,88.4,0,0,0
6,SCHIZO_FREQ,100835,184.57,173.43,11.14,0,0,0
7,aixbt_agent,450946,178.72,122.81,55.92,0,0,0
8,waleswoosh,168489,176.01,111.56,64.45,0,0,0
9,KookCapitalLLC,170309,168.08,103.32,64.76,0,0,0
10,TedPillows,205346,167.88,93.24,74.64,0,0,0
11,MMCrypto,1762961,159.45,100.52,58.94,0,0,0
12,FerreWeb3,105541,158.04,89.82,68.22,0,0,0
13,RiddlerNFT,34758,157.44,95.35,62.09,0,0,0
14,SolLunix,83710,152.58,100.06,52.52,0,0,0
15,0xAbhiP,60212,150.9,99.89,51.01,0,0,0
16,0xBreyn,68319,148.09,97.77,50.32,0,0,0
17,HottieBabeGem,109221,142.79,93.02,49.77,0,0,0
18,1stBenjaNAD,31307,142.25,86.08,56.17,0,0,0
19,shahrianazim6,62037,140.24,80.51,59.74,0,0,0
20,banditxbt,37695,138.91,78.64,60.27,0,0,0
21,OxTochi,71572,136.48,85.02,51.46,0,0,0
22,Doodlegenics,104880,136.29,75.13,61.16,0,0,0
23,thegaboeth,101229,134.85,87.38,47.47,0,0,0
24,Jampzey,112619,132.19,86.36,45.83,0,0,0
25,bashorunedward,35999,131.29,87.53,43.76,0,0,0
26,erequendiweb3,88577,130.26,84.1,46.16,0,0,0
27,SaulWgmi,90004,130.0,89.81,40.19,0,0,0
28,GodsBurnt,95384,129.62,62.09,67.53,0,0,0
29,heycape_,50348,125.23,77.25,47.98,0,0,0
30,vohvohh,113630,123.73,88.8,34.94,0,0,0
31,beast_ico,60178,123.49,89.64,33.85,0,0,0
32,Param_eth,83394,123.44,83.14,40.3,0,0,0
33,ali_charts,152800,122.86,80.3,42.57,0,0,0
34,sassal0x,291332,122.35,87.54,34.81,0,0,0
35,zuri_nft,59743,121.92,102.86,19.06,0,0,0
36,MookieNFT,150162,121.85,90.82,31.03,0,0,0
37,xCryptoAlucard,57873,121.48,92.98,28.5,0,0,0
38,Cryptowithkhan,77950,119.85,90.9,28.94,0,0,0
39,abgweb3,119842,119.81,88.45,31.35,0,0,0
40,CodeXBT,27113,118.27,89.33,28.95,0,0,0
41,0xjayn3,33035,118.1,84.26,33.85,0,0,0
42,UziCryptoo,28899,117.53,69.43,48.1,0,0,0
43,wtfisdavee,16692,117.45,69.47,47.98,0,0,0
44,itzdezydank,15333,116.32,92.28,24.04,0,0,0
45,CyrptosSherlock,194132,115.39,66.62,48.77,0,0,0
46,AirdropWithMew,12205,114.55,88.01,26.54,0,0,0
47,teddi_speaks,141708,114.3,82.9,31.4,0,0,0
48,ilodiwow,98314,113.56,62.29,51.27,0,0,0
49,Madissa_eth,66587,113.53,92.4,21.14,0,0,0
50,Xeer,61640,112.22,82.18,30.04,0,0,0
51,jgonzalezferrer,50335,111.31,71.01,40.3,0,0,0
52,degenBRO__,29459,111.16,70.42,40.74,0,0,0
53,greenytrades,38290,110.76,81.3,29.46,0,0,0
54,nftmufettisi,111599,110.54,83.67,26.87,0,0,0
55,MtroX207,15524,110.38,83.64,26.74,0,0,0
56,1Kaiweb3,45382,109.39,78.0,31.39,0,0,0
57,Bdigital17,16303,109.01,76.27,32.74,0,0,0
58,sandyXBT,57954,108.71,72.03,36.68,0,0,0
59,lynk0x,287374,108.4,50.29,58.11,0,0,0
60,boldleonidas,88349,108.17,84.77,23.41,0,0,0
61,SolAndrew_,90326,107.98,82.2,25.78,0,0,0
62,0xdogacan,41364,107.92,69.55,38.36,0,0,0
63,thegreatola,101349,107.88,75.83,32.05,0,0,0
64,Jessicalevi13,76232,107.78,81.84,25.94,0,0,0
65,quan_eth,22677,107.66,67.42,40.24,0,0,0
66,raxthealpha,81222,106.92,75.58,31.34,0,0,0
67,MINHxDYNASTY,52861,106.86,74.79,32.08,0,0,0
68,Soch_Tweet,3225,106.76,86.09,20.67,0,0,0
69,sjdedic,37314,106.6,91.08,15.52,0,0,0
70,ken_w3b3,19635,106.06,87.38,18.68,0,0,0
71,Montiape,25158,105.88,84.46,21.42,0,0,0
72,SharkyWeb3,96399,105.61,78.56,27.04,0,0,0
73,ProofOfTravis,33098,105.47,81.92,23.56,0,0,0
74,Crypto_Pranjal,193744,105.46,88.14,17.32,0,0,0
75,nayibbukele,7678283,105.34,104.46,0.88,0,0,0
76,Trappwurld,32218,105.19,74.64,30.56,0,0,0
77,ix_wilson,167223,105.09,76.97,28.11,0,0,0
78,SolProfessor565,62261,104.43,79.89,24.55,0,0,0
79,OxMula,8511,104.34,87.87,16.46,0,0,0
80,LilG100x,5894,104.23,90.19,14.03,0,0,0
81,Ellaweb_3,118902,104.04,88.66,15.38,0,0,0
82,BeyonderTR,49771,103.9,79.67,24.23,0,0,0
83,msjojos,60431,102.87,49.25,53.62,0,0,0
84,0xEthanDG,54658,102.23,69.45,32.78,0,0,0
85,keys0321,10480,102.2,75.95,26.25,0,0,0
86,mbeNFT,101943,101.94,75.77,26.16,0,0,0
87,Husaink0404,5971,101.67,85.49,16.18,0,0,0
88,wals_eth,25150,101.65,83.4,18.25,0,0,0
89,LIMITLESSDAMI,25518,101.51,82.49,19.02,0,0,0
90,0xMistBlade,49418,101.48,84.16,17.31,0,0,0
91,jexybtc,19014,101.33,78.78,22.55,0,0,0
92,ufukless1,16191,101.3,77.06,24.24,0,0,0
93,Decentralpapi,15207,101.25,87.69,13.57,0,0,0
94,Habibiofcrypto1,11956,100.87,85.77,15.1,0,0,0
95,zaimiriQ,54224,100.77,81.44,19.33,0,0,0
96,BitcoinZac,56724,100.34,87.99,12.35,0,0,0
97,TheDeFinvestor,153211,99.4,86.17,13.24,0,0,0
98,Diamondweb_3,105515,99.39,83.56,15.83,0,0,0
99,raintures,90846,98.75,78.95,19.8,0,0,0
100,legen_eth,129107,98.63,73.87,24.76,0,0,0
101,zubic_eth,27156,98.03,64.32,33.71,0,0,0
102,notbrokennn,10028,98.01,87.27,10.75,0,0,0
103,Cyber_Warriorr,12048,97.85,85.72,12.12,0,0,0
104,FFVV1211,65388,97.46,71.14,26.32,0,0,0
105,TomWeb33,57115,97.45,85.08,12.37,0,0,0
106,LoshmiOnChain,33296,96.63,73.42,23.21,0,0,0
107,AInvestor_11,11070,96.57,82.84,13.73,0,0,0
108,Candycripto,40925,96.46,82.34,14.13,0,0,0
109,onerandomguyyyy,13987,95.95,63.01,32.94,0,0,0
110,evaedxn_,30327,95.72,67.49,28.23,0,0,0
111,News_Arena_,100270,95.69,78.89,16.81,0,0,0
112,Smile_6922,4513,95.14,75.06,20.08,0,0,0
113,DIfezc70441,5878,95.13,81.01,14.12,0,0,0
114,EDESIGNS13,4002,94.94,81.25,13.69,0,0,0
115,LillyCreator,40191,94.83,82.76,12.07,0,0,0
116,blackcap_eth,12872,94.78,85.26,9.52,0,0,0
117,Benncrypt,4400,94.1,86.24,7.86,0,0,0
118,NKLinhzk,9204,94.01,84.2,9.81,0,0,0
119,calc_morph,6423,94.0,81.77,12.23,0,0,0
120,l3olanza,9134,93.99,79.07,14.92,0,0,0
121,woryin_Crypto,9040,93.93,79.31,14.62,0,0,0
122,lovaniceth,13830,93.84,88.28,5.56,0,0,0
123,AshleyDCan,179623,93.8,71.13,22.67,0,0,0
124,dimqtdl,21080,93.78,82.47,11.31,0,0,0
125,_gvan,22421,93.69,65.43,28.26,0,0,0
126,ProofOfEly,40163,93.65,70.14,23.51,0,0,0
127,Octavia_50,3829,93.36,83.15,10.21,0,0,0
128,Cent_Maine,2833,93.36,85.19,8.17,0,0,0
129,NoraXBT,73688,92.81,81.81,10.99,0,0,0
130,FeratMDS,25689,92.73,80.02,12.71,0,0,0
131,Emmy_Crrypto,30439,92.71,75.25,17.45,0,0,0
132,dotkrueger,176433,92.31,70.64,21.67,0,0,0
133,pudgypenguins,731965,91.99,87.15,4.84,0,0,0
134,Tma_420,42690,91.98,72.74,19.24,0,0,0
135,Chilearmy123,48294,91.91,73.88,18.03,0,0,0
136,NhungNg92425075,4578,91.73,81.44,10.29,0,0,0
137,blknoiz06,762306,91.41,61.6,29.81,0,0,0
138,SuzzyDefi,45211,91.13,81.5,9.63,0,0,0
139,manlikefola_,22652,91.08,83.91,7.17,0,0,0
140,DeRonin_,85604,90.84,79.02,11.82,0,0,0
141,CRYPTOKRALI3,92040,90.73,77.61,13.12,0,0,0
142,solashenone,42217,90.73,74.75,15.98,0,0,0
143,biscuitweb3,14279,90.68,78.76,11.92,0,0,0
144,fabdarice,16680,90.59,74.23,16.35,0,0,0
145,Femboyxo1,32482,90.44,45.2,45.23,0,0,0
146,ZenaXBT,27350,90.38,80.46,9.91,0,0,0
147,AlisaWeb3,10408,90.14,82.96,7.18,0,0,0
148,MacroCRG,189847,90.1,59.12,30.98,0,0,0
149,Jef_web3X,29697,89.9,76.97,12.94,0,0,0
150,jerezizzz,55969,89.71,67.47,22.24,0,0,0
151,Cryptameerah,5748,89.61,70.42,19.19,0,0,0
152,bigmanstuff0,44448,89.45,75.99,13.47,0,0,0
153,udiWertheimer,228210,89.21,76.33,12.88,0,0,0
154,lawaltemiloluw4,3113,89.12,80.21,8.91,0,0,0
155,CustodianMr,4215,88.96,86.68,2.29,0,0,0
156,web3_tech_,2735,88.93,78.23,10.71,0,0,0
157,uniquesingh__,16457,88.92,76.28,12.64,0,0,0
158,Skuullls,5168,88.76,78.71,10.06,0,0,0
159,AAmatullateef,5267,88.75,72.0,16.74,0,0,0
160,0xBenscrypto,17933,88.59,71.95,16.64,0,0,0
161,0xCan24,24418,88.35,76.44,11.91,0,0,0
162,AidenWgmi,98614,88.3,63.47,24.84,0,0,0
163,Utpalrabhaaa,3102,88.19,79.32,8.87,0,0,0
164,bigwil2k3,11951,88.14,77.55,10.59,0,0,0
165,camolNFT,63009,88.13,67.16,20.97,0,0,0
166,OdinWeb3,9826,87.99,81.6,6.4,0,0,0
167,PixOnChain,107073,87.97,79.6,8.38,0,0,0
168,BR4ted,46829,87.75,71.25,16.49,0,0,0
169,EasyEatsBodega,133563,87.66,67.56,20.09,0,0,0
170,tienho_nyx,4914,87.57,78.0,9.57,0,0,0
171,AirdropTrail,2970,87.53,78.45,9.08,0,0,0
172,He_isJustin,17487,87.35,75.2,12.15,0,0,0
173,0xNXTLVL,9161,87.25,77.07,10.18,0,0,0
174,YvngJayfc,6097,87.08,70.31,16.77,0,0,0
175,MunaPRR,3611,86.49,82.17,4.32,0,0,0
176,Lexibtceth,81944,86.43,73.72,12.71,0,0,0
177,shotguncaio,33440,86.42,68.33,18.1,0,0,0
178,Emmanuel_div11,3339,86.14,79.86,6.28,0,0,0
179,7_Tolani,12921,86.1,79.74,6.36,0,0,0
180,yaabgu,6581,85.9,75.95,9.95,0,0,0
181,cryptoleon_xyz,40014,85.81,67.26,18.55,0,0,0
182,NateGeraci,68689,85.79,78.13,7.66,0,0,0
183,finnbags,92230,85.76,55.22,30.54,0,0,0
184,NasirumarIsmai1,4747,85.63,76.26,9.38,0,0,0
185,AntonesKaragia1,10284,85.57,75.43,10.14,0,0,0
186,NyxHarrow,11612,85.52,80.6,4.92,0,0,0
187,slim_talkative,5028,85.48,78.05,7.42,0,0,0
188,kokid951,222406,85.38,60.06,25.32,0,0,0
189,KaylashowDq,4960,85.36,75.99,9.37,0,0,0
190,coinbase,6586231,85.23,81.27,3.96,0,0,0
191,Ox_duke,11546,85.15,69.08,16.08,0,0,0
192,ririnxbt,48640,85.15,78.73,6.42,0,0,0
193,0xNairolf,30881,85.13,68.55,16.58,0,0,0
194,ADE1_UTD,5778,85.06,73.4,11.66,0,0,0
195,0xLotex,3450,85.01,75.75,9.26,0,0,0
196,SIRR_BEN,3205,84.73,78.04,6.69,0,0,0
197,ayyyeandy,70494,84.64,67.62,17.02,0,0,0
198,Telcier,7183,84.35,74.91,9.44,0,0,0
199,waxnear,23553,84.27,78.18,6.08,0,0,0
200,Amor_Web3,34118,84.26,76.17,8.1,0,0,0
201,winner_asd,4060,84.22,74.64,9.58,0,0,0
202,rickdeetweets,11499,84.15,77.23,6.92,0,0,0
203,FamousCloudzz,43812,84.15,67.68,16.47,0,0,0
204,JunoCrypto3,5684,83.99,77.94,6.05,0,0,0
205,RyanSAdams,267831,83.96,75.25,8.71,0,0,0
206,Bency1749379,3287,83.83,72.74,11.1,0,0,0
207,BasseyIsrael4,9050,83.79,79.51,4.28,0,0,0
208,ZaaZu___,4154,83.79,75.22,8.57,0,0,0
209,r_rainss,28764,83.77,65.54,18.23,0,0,0
210,jussy_world,66224,83.73,74.67,9.06,0,0,0
211,keenn_eth,15181,83.71,71.39,12.33,0,0,0
212,goodybtc,3915,83.53,75.18,8.35,0,0,0
213,TinDinh2701,2861,83.52,76.49,7.03,0,0,0
214,0xweb3bond,136620,83.5,63.15,20.35,0,0,0
215,xerocooleth,65690,83.47,51.28,32.18,0,0,0
216,Beccca007,4346,83.45,72.87,10.58,0,0,0
217,_Kriptopia,21437,83.41,76.46,6.94,0,0,0
218,Tanaka_L2,58298,83.29,76.78,6.52,0,0,0
219,_greysupremacy,10453,83.17,59.57,23.59,0,0,0
220,Ryuzaki_SEI,31379,83.11,74.17,8.94,0,0,0
221,basedkarbon,88000,83.08,66.58,16.5,0,0,0
222,Dcryptopioneer,43347,83.06,69.37,13.69,0,0,0
223,shivst3r,50921,83.06,69.45,13.61,0,0,0
224,muslima_sol,6670,82.99,71.31,11.68,0,0,0
225,rasmr_eth,116137,82.7,62.03,20.67,0,0,0
226,evans1vn,93142,82.69,70.83,11.86,0,0,0
227,0xGiwax,4856,82.59,73.68,8.91,0,0,0
228,tobific,40945,82.56,71.0,11.56,0,0,0
229,kingjayms_,3488,82.5,71.82,10.69,0,0,0
230,BitmanTW,43322,82.44,71.21,11.23,0,0,0
231,katexbt,19676,82.35,69.99,12.36,0,0,0
232,PickupBeta,4251,82.2,77.15,5.05,0,0,0
233,ShuvoWeb3,37832,82.08,65.66,16.42,0,0,0
234,princeofweb3,30758,82.02,67.56,14.46,0,0,0
235,MorkHood,10806,81.9,72.12,9.78,0,0,0
236,Vanquan_titans,51711,81.84,73.08,8.76,0,0,0
237,De_Ciphera,5470,81.69,71.05,10.64,0,0,0
238,PenguinWeb3,19152,81.59,70.39,11.2,0,0,0
239,orpheuzkaze,48630,81.58,72.3,9.27,0,0,0
240,JetXBT,61071,81.56,69.26,12.3,0,0,0
241,Phin_totten,30888,81.54,63.63,17.91,0,0,0
242,pukerrainbrow,79522,81.48,64.47,17.01,0,0,0
243,Netokrypto,2933,81.45,74.98,6.47,0,0,0
244,KelanAkoPapaldo,4368,81.43,74.46,6.97,0,0,0
245,RottOfdoG,6778,81.35,74.42,6.93,0,0,0
246,dankerwim,3041,81.26,72.42,8.84,0,0,0
247,ICE_CRYPTT,3883,81.2,73.0,8.2,0,0,0
248,Nervyesi,15192,81.18,75.52,5.66,0,0,0
249,Boy1Sniper,6455,81.05,70.42,10.63,0,0,0
250,ade_shina01,15003,80.96,74.11,6.85,0,0,0
251,Lucynneka5,3284,80.86,74.09,6.77,0,0,0
252,snehtical,3786,80.78,68.92,11.86,0,0,0
253,goon_crypto,6623,80.72,74.91,5.81,0,0,0
254,PowderWeb3,90496,80.69,67.38,13.31,0,0,0
255,spencer,34228,80.64,57.81,22.83,0,0,0
256,wiliams0x,6154,80.63,69.47,11.16,0,0,0
257,mavericksyn,4748,80.55,72.88,7.68,0,0,0
258,illusionsW3,15032,80.54,64.29,16.25,0,0,0
259,BigNelson_,4697,80.42,75.82,4.6,0,0,0
260,Bellickkruz,27151,80.37,69.01,11.35,0,0,0
261,CaptainNFA,8057,80.34,67.81,12.53,0,0,0
262,aslibhai111,4126,80.24,73.4,6.84,0,0,0
263,Tractodoteth,35509,80.23,62.82,17.41,0,0,0
264,notEgoyard,13190,80.14,73.65,6.49,0,0,0
265,OxJoshyy,15093,80.14,42.13,38.0,0,0,0
266,Abba_kakaa,16078,80.1,72.59,7.51,0,0,0
267,tinochchan,22028,80.09,63.13,16.96,0,0,0
268,JoshJosh45,2813,80.05,75.95,4.1,0,0,0
269,chooserich,241960,80.01,72.26,7.75,0,0,0
270,KierianV,14422,79.91,68.87,11.04,0,0,0
271,KC_GMI,4473,79.82,68.49,11.33,0,0,0
272,GratefulApe_eth,54816,79.76,66.24,13.52,0,0,0
273,0xShilla,7133,79.59,73.43,6.16,0,0,0
274,Web3Alex_,17952,79.53,72.23,7.3,0,0,0
275,SHL0MS,79484,79.49,73.74,5.75,0,0,0
276,KRYPTNITAN,3221,79.37,74.53,4.85,0,0,0
277,Smartecio,44552,79.37,71.48,7.89,0,0,0
278,simpativerse,3228,79.29,76.77,2.52,0,0,0
279,Julian_defi,47134,79.25,68.11,11.14,0,0,0
280,akagami58,53447,79.23,66.53,12.69,0,0,0
281,eeelistar,54221,79.15,65.47,13.67,0,0,0
282,Fijacyber_,3312,79.01,72.5,6.51,0,0,0
283,Btcozgurr,2972,78.93,73.31,5.62,0,0,0
284,fwTyo,353340,78.88,55.15,23.73,0,0,0
285,imcryptofreak,9411,78.84,73.98,4.87,0,0,0
286,munchPRMR,20613,78.71,67.83,10.87,0,0,0
287,bigray0x,6206,78.53,67.49,11.04,0,0,0
288,ItsEshOnX,29918,78.5,68.02,10.48,0,0,0
289,kinghunter091,2790,78.49,72.76,5.73,0,0,0
290,0x_DaGold,4562,78.2,71.11,7.09,0,0,0
291,barkmeta,230287,78.1,36.08,42.02,0,0,0
292,Shieldmetax,44669,78.06,39.0,39.06,0,0,0
293,leonabboud_,18232,78.05,66.83,11.22,0,0,0
294,alherii69,2947,77.99,72.31,5.68,0,0,0
295,BkCryp0786,5100,77.9,69.68,8.22,0,0,0
296,therealchibz,2857,77.85,72.89,4.96,0,0,0
297,belafeid_,14512,77.69,70.59,7.1,0,0,0
298,0xashensoul,2607,77.59,71.68,5.91,0,0,0
299,Carter_Web3_,69177,77.52,64.71,12.82,0,0,0
300,nrlartt,5388,77.42,74.43,2.99,0,0,0
301,i_am_ajo,15108,77.4,70.49,6.92,0,0,0
302,AirBeeHoliday,3275,77.26,74.56,2.7,0,0,0
303,PinnacleCrypt,12863,77.25,73.68,3.57,0,0,0
304,ripchillpill,94601,77.17,44.22,32.94,0,0,0
305,MieWeb3,19947,77.12,67.32,9.8,0,0,0
306,LamChanThong,8134,77.1,72.44,4.66,0,0,0
307,Crypto_unicat,5487,77.07,72.86,4.21,0,0,0
308,0xGumshoe,60394,77.03,67.34,9.7,0,0,0
309,ItsMeQuantum,3574,77.03,69.57,7.46,0,0,0
310,jbondwagon,78201,76.99,67.47,9.52,0,0,0
311,crypto_mania3,26238,76.65,70.45,6.2,0,0,0
312,theProcessXCII,13662,76.62,63.43,13.18,0,0,0
313,0xGrimjow,10128,76.59,68.95,7.64,0,0,0
314,onchaingodson,2778,76.53,70.81,5.72,0,0,0
315,boundless_xyz,282826,76.53,66.12,10.41,0,0,0
316,0xWenMoon,33594,76.46,61.94,14.52,0,0,0
317,MhiztaLOEL,15154,76.4,67.61,8.79,0,0,0
318,Carlitoswa_y,27105,76.4,60.74,15.66,0,0,0
319,elvis_analyst,14677,76.37,66.62,9.75,0,0,0
320,kingarthurrweb3,43124,76.35,66.01,10.34,0,0,0
321,Zarahh_shinks,3637,76.19,73.87,2.32,0,0,0
322,anonymous_maboa,7205,76.19,71.18,5.01,0,0,0
323,Sourav6763,4956,76.01,73.33,2.69,0,0,0
324,mayormaxi10,5204,75.94,68.48,7.45,0,0,0
325,TokyouXBT,5623,75.91,65.8,10.11,0,0,0
326,MarianneNFTs,41283,75.89,62.79,13.1,0,0,0
327,web3_Salem,14273,75.65,66.31,9.34,0,0,0
328,youfadedwealth,48939,75.57,54.0,21.57,0,0,0
329,Cassini0x,18287,75.51,64.09,11.43,0,0,0
330,thatwagmigirl,13212,75.33,69.21,6.12,0,0,0
331,brian_armstrong,1591618,75.24,72.7,2.54,0,0,0
332,dev_allo,36199,75.23,63.6,11.63,0,0,0
333,prxfecy0x,11953,75.19,67.07,8.12,0,0,0
334,lochiejarvis201,12334,75.17,65.66,9.52,0,0,0
335,LisaFlorentina8,15736,75.16,67.46,7.7,0,0,0
336,meg_thorpe_,19159,75.12,64.84,10.28,0,0,0
337,Bala_ibb,13941,75.09,66.52,8.58,0,0,0
338,Deucesofweb3,9311,75.09,69.63,5.46,0,0,0
339,RahulKarth29923,2596,74.97,66.32,8.64,0,0,0
340,forgottenone235,3449,74.93,72.26,2.67,0,0,0
341,RosecryptoXx,4112,74.85,68.51,6.35,0,0,0
342,ALPHACOETH,33597,74.7,59.55,15.14,0,0,0
343,HurricaneCrypt0,11427,74.69,62.99,11.69,0,0,0
344,BigOsCrypt,35035,74.62,66.74,7.88,0,0,0
345,aziashcrypto,10736,74.6,65.61,8.99,0,0,0
346,kodd25,10724,74.6,64.48,10.12,0,0,0
347,Hydraze420,139100,74.59,62.83,11.76,0,0,0
348,HakiBTC,4642,74.57,70.48,4.08,0,0,0
349,abuchifungus,3047,74.55,67.67,6.88,0,0,0
350,fredrick_ojiako,4478,74.54,69.88,4.66,0,0,0
351,jalaal_tweets,50819,74.51,65.57,8.94,0,0,0
352,Slappjakke,62860,74.5,67.19,7.32,0,0,0
353,Picolas_Caged,15194,74.48,65.67,8.81,0,0,0
354,KevinWSHPod,55657,74.34,66.46,7.87,0,0,0
355,Defidotsol,4876,74.27,68.67,5.6,0,0,0
356,heisfaaz,3320,74.24,68.4,5.84,0,0,0
357,Crypto_bn,35535,74.22,67.45,6.78,0,0,0
358,OxDavinci,10823,74.1,67.65,6.45,0,0,0
359,0xZodex,3219,74.08,68.12,5.96,0,0,0
360,jasmcrypto,3229,74.02,67.51,6.52,0,0,0
361,0itsali0,47862,74.02,61.7,12.31,0,0,0
362,drsolar_abs,2511,73.81,68.98,4.83,0,0,0
363,legendarygainz_,48131,73.71,63.64,10.07,0,0,0
364,JasoNFT_,18270,73.66,65.01,8.65,0,0,0
365,solace_okere,5181,73.65,65.26,8.39,0,0,0
366,jupiterbaz,2754,73.6,71.61,1.99,0,0,0
367,OzzyChina,19435,73.55,63.24,10.31,0,0,0
368,Counselor_Ayo,39676,73.54,65.72,7.82,0,0,0
369,gojex__kun,3904,73.51,70.33,3.18,0,0,0
370,NGSAIDUL30,4275,73.49,67.86,5.63,0,0,0
371,tommyunchain,26063,73.47,64.1,9.38,0,0,0
372,Alagbax,4459,73.35,68.43,4.92,0,0,0
373,vhowa,9560,73.3,69.5,3.8,0,0,0
